$gene_or_promoter	SolutionOrder	class	mass reclaimed $(fg/cell)$	Step_12_lowOD_cumate	Step_12_lowOD_cumate_cumulative_abundance
b3339	11	gene	0.060754361955	0.0606511181061	0.701774184439
b3336	11	gene	0.060754361955	8.82592002821e-05	0.70167094059
b3338	11	gene	0.060754361955	1.49846490799e-05	0.70175919979
PM0-9799	11	promoter	0.060754361955	-0.0	0.762425302545
PM0-3321	11	promoter	0.060754361955	-0.0	0.701774184439
b3337	11	gene	0.060754361955	-0.0	0.70175919979
b3335	11	gene	0.060754361955	-0.0	0.70167094059
b3334	11	gene	0.060754361955	-0.0	0.70167094059
b3333	11	gene	0.060754361955	-0.0	0.70167094059
b3332	11	gene	0.060754361955	-0.0	0.70167094059
b3331	11	gene	0.060754361955	-0.0	0.70167094059
b3330	11	gene	0.060754361955	-0.0	0.70167094059
b3329	11	gene	0.060754361955	-0.0	0.70167094059
b3328	11	gene	0.060754361955	-0.0	0.70167094059
b3327	11	gene	0.060754361955	-0.0	0.70167094059
b3326	11	gene	0.060754361955	-0.0	0.70167094059
b3325	11	gene	0.060754361955	-0.0	0.70167094059
b3324	11	gene	0.060754361955	-0.0	0.70167094059
PM0-9514	11	promoter	0.060754361955	-0.0	0.70167094059
PM-8819	11	promoter	0.060754361955	-0.0	0.70167094059
b3323	11	gene	0.060754361955	-0.0	0.70167094059
b3322	11	gene	0.060754361955	-0.0	0.70167094059
b0957	10	gene	0.022043414644	0.0216510383996	0.155539485961
b0962	10	gene	0.022043414644	0.00012660957804	0.177224016149
b0967	10	gene	0.022043414644	0.000124003525452	0.177409732945
b0963	10	gene	0.022043414644	3.67293278576e-05	0.177350625727
b0955	10	gene	0.022043414644	2.04955787232e-05	0.155511752605
b0969	10	gene	0.022043414644	1.89988794136e-05	0.177536168369
b0961	10	gene	0.022043414644	1.8367064867e-05	0.177205649084
b0960	10	gene	0.022043414644	1.51247235191e-05	0.177190524361
b0965	10	gene	0.022043414644	1.2742263984e-05	0.177387355055
b0966	10	gene	0.022043414644	9.63562573197e-06	0.177400097319
b0956	10	gene	0.022043414644	7.23777762998e-06	0.155532248184
b0968	10	gene	0.022043414644	2.43189872649e-06	0.17753373647
PM0-36218	10	promoter	0.022043414644	-0.0	0.177387355055
b0964	10	gene	0.022043414644	-0.0	0.177387355055
PM0-10012	10	promoter	0.022043414644	-0.0	0.177387355055
PM0-36233	10	promoter	0.022043414644	-0.0	0.177224016149
PM0-36232	10	promoter	0.022043414644	-0.0	0.177224016149
b0959	10	gene	0.022043414644	-0.0	0.177190524361
PM0-46336	10	promoter	0.022043414644	-0.0	0.177190524361
PM00092	10	promoter	0.022043414644	-0.0	0.177190524361
b0958	10	gene	0.022043414644	-0.0	0.177190524361
PM00064	10	promoter	0.022043414644	-0.0	0.177190524361
PM0-10011	10	promoter	0.022043414644	-0.0	0.155532248184
b1581	9	gene	0.017466200951	0.00884391219777	0.255598243481
b1580	9	gene	0.017466200951	0.00830828170356	0.247289961777
b1584	9	gene	0.017466200951	9.11260672769e-05	0.264493651425
b1586	9	gene	0.017466200951	6.98890634553e-05	0.26459231542
b1588	9	gene	0.017466200951	6.57971902618e-05	0.264662204483
b1583	9	gene	0.017466200951	5.14957468025e-05	0.264442155678
b1589	9	gene	0.017466200951	2.81610549456e-05	0.264728001674
b1585	9	gene	0.017466200951	7.53792728586e-06	0.264584777493
b1592	9	gene	0.017466200951	-0.0	0.264756162728
